Company,Valuation,Date Joined,Country,Industry,Address,latitude,longitude,Select Investors
Pluralsight,1,8/27/14,United States,Internet Software & Services,"182 N Union Ave, Farmington, UT 84025",40.9841151,-111.9083491,"Felicis Ventures, Iconiq Capital, Insight Venture Partners"
Fanduel,1,7/14/15,United States,Internet Software & Services,"1207 4th St, Santa Monica, CA 90401",34.019087,-118.497745,"Pentech Ventures, Bullpen Capital, KKR"
Zeta Interactive,1,7/15/15,United States,Internet Software & Services,"80 S Lake Ave, Pasadena, CA 91101",34.1442918,-118.1316201,"GSO Capital Partners, Franklin Square"
Apttus,1,9/1/15,United States,Internet Software & Services,"1400 Fashion Island Blvd #200, San Mateo, CA 94404",37.5561532,-122.2881176,"Iconiq Capital, K1 Capital, Salesforce Ventures"
AppDirect,1,10/7/15,United States,Internet Software & Services,"FL 25, 650 California St, San Francisco, CA 94108",37.7928096,-122.4052389,"Foundry Group, iNovia Capital, StarVest Partners"
Anaplan,1.09,1/14/16,United States,Internet Software & Services,"625 2nd St #101, San Francisco, CA 94107",37.7816955,-122.3910597,"Shasta Ventures, Granite Ventures, DFJ Growth Fund"
Vice Media,4,8/17/13,United States,Media,"589 Venice Blvd, Los Angeles, CA 90291",33.990074,-118.461849,"Technology Crossover Ventures, A&E Television Networks"
Buzzfeed,1.5,8/18/15,United States,Media,"200 5th Ave (at W 23rd St), New York, NY 10010, United States",40.7421643,-73.9898936,"SV Angel, RRE Ventures, New Enterprise Associates"
Vox Media,1,8/12/15,United States,Media,"1201 Connecticut Ave. NW Washington, DC 20036",38.9060969,-77.0407194,"Accel Partners, Comcast Ventures, General Atlantic"
Jasper Technologies,1.4,4/16/14,United States,Mobile Software & Services,"20509 Earlgate St, Walnut, CA 91789",34.000112,-117.856807,"DAG Ventures, Sequoia Capital, Benchmark Capital"
Uber,51,8/23/13,United States,On-Demand,"Uber HQ, Market Street, San Francisco, CA",37.7734667,-122.4213728,"Lowercase Capital, Benchmark Capital, Google Ventures"
Lyft,5.5,3/12/15,United States,On-Demand,"568 Brannan St, San Francisco, CA 94107",37.7772863,-122.3980961,"Founders Fund, Mayfield Fund, Floodgate"
Instacart,2,12/30/14,United States,On-Demand,"420 Bryant Street, San Francisco, CA",37.782809,-122.394354,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
SpaceX,12,12/1/12,United States,Other Transportation,"12675 Crenshaw Blvd, Hawthorne, CA 90250",33.9178969,-118.326699,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Snapchat,16,12/11/13,United States,Social,"Snapchat HQ, Los Angeles, CA",34.0522342,-118.2436849,"Benchmark Capital, General Catalyst Partners, Lightspeed Venture Partners"
Pinterest,11,5/19/12,United States,Social,"808 Brannan St, San Francisco, CA 94103",37.7730108,-122.4037709,"Andreessen Horowitz, Bessemer Venture Partners, Firstmark Capital"
TangoMe,1.1,3/20/14,United States,Social,"605 Fairchild Dr, Mountain View, CA 94043",37.4025868,-122.049183,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
Nextdoor,1.1,3/4/15,United States,Social,"760 Market St #300, San Francisco, CA 94102",37.7864902,-122.4055461,"Benchmark Capital, DAG Ventures, Insight Venture Partners"
Magic Leap,2,10/21/14,United States,VR/AR,"1855 Griffin Rd B454, Dania Beach, FL 33004",26.0596589,-80.1615187,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
